Time,Value,Label
-355241.73971,86,0
-351407.99872,67,0
-351277.36756,141,1
-350329.60929,112,0
-313920.77134,83,0
-313651.89113,65,0
-313485.25887,74,0
-313031.64716,89,0
-312921.38388,81,0
-312529.25859,77,0
-312222.01217,158,1
-311991.40185,68,0
-311537.6496,66,0
-311337.63714,82,0
-311176.26943,88,0
-310696.88776,83,0
-310496.8868,74,0
-310099.6411,81,0
-309851.01565,79,0
-309602.39331,90,0
-309218.38914,77,0
-308831.52721,97,0
-308526.52183,86,0
-308436.89705,89,0
-307960.38709,91,0
-307306.90036,73,0
-307068.6375,65,0
-306776.5196,79,0
-306622.76247,83,0
-306230.51289,66,0
-306002.26373,97,0
-305502.52617,79,0
-305292.26073,94,0
-304982.15,83,0
-304853.90479,87,0
-304428.89639,97,0
-304275.01718,100,0
-303765.0195,93,0
-303508.65284,97,0
-303159.89236,76,0
-303044.51232,89,0
-302567.76436,60,0
-302390.77996,74,0
-301626.78062,72,0
-301467.89354,95,0
-301119.26558,83,0
-300427.38815,89,0
-300337.63855,102,0
-300078.64227,78,0
-299542.90366,161,1
-299465.8908,65,0
-298981.26424,74,0
-298701.89102,83,0
-298545.5263,86,0
-298194.26539,75,0
-297955.89182,88,0
-276670.00746,115,0
-276372.64399,107,0
-276072.63573,106,0
-275808.51197,107,0
-275685.37793,97,0
-274895.89338,103,0
-273742.8949,101,0
-273230.51515,81,0
-272723.25965,89,0
-272185.2555,82,0
-272121.14298,60,0
-271790.63826,101,0
-271529.39857,103,0
-269226.76955,83,0
-268896.27205,90,0
-268757.76662,101,0
-268316.88271,104,0
-268011.76261,93,0
-267704.02167,97,0
-267380.88427,97,0
-267232.15105,90,0
-265888.641,81,0
-265793.77583,75,0
-226928.3015,56,0
-226667.29521,73,0
-226328.92957,88,0
-226218.66687,82,0
-225959.91884,83,0
-225537.17939,72,0
-225099.03769,73,0
-224555.92242,73,0
-224220.30433,74,0
-223628.42219,71,0
-223536.16805,102,0
-223016.05145,90,0
-222913.54638,80,0
-222539.41522,84,0
-222144.80071,74,0
-222062.80072,74,0
-221675.8084,84,0
-221186.30829,79,0
-221094.05293,95,0
-220627.79401,76,0
-220468.79552,89,0
-219987.05805,65,0
-219753.66699,98,0
-219523.04424,70,0
-219315.42221,89,0
-218843.92382,82,0
-218743.93502,68,0
-218423.56113,62,0
-217744.30482,65,0
-217344.42368,60,0
-217041.92772,74,0
-216680.55729,73,0
-216442.17329,76,0
-216247.30162,73,0
-216006.42336,73,0
-215650.17804,76,0
-215342.68753,73,0
-215027.43324,94,0
-214576.04984,74,0
-214509.43862,67,0
-214055.43116,81,0
-213906.68791,75,0
-213486.18637,74,0
-213168.19004,84,0
-212609.05812,89,0
-212342.30536,91,0
-211927.04761,90,0
-211627.17886,78,0
-211424.68388,65,0
-210855.8126,95,0
-210517.43217,81,0
-210194.312,74,0
-209935.43406,74,0
-209566.18919,73,0
-209253.30528,78,0
-208891.92736,82,0
-208469.05273,83,0
-208089.56332,80,0
-207840.92746,74,0
-207493.43697,81,0
-207367.80964,84,0
-206650.0587,86,0
-206355.31314,73,0
-206096.31602,102,0
-205737.44205,79,0
-205383.5716,74,0
-205237.43469,76,0
-204673.30694,68,0
-204527.19216,69,0
-204145.06079,75,0
-203991.18111,67,0
-203627.31196,73,0
-203211.8227,77,0
-203014.43189,93,0
-202860.57261,88,0
-202437.31257,72,0
-202047.57154,65,0
-201921.81236,58,0
-201657.68754,73,0
-201303.80817,73,0
-139758.96272,72,0
-139315.34701,76,0
-139212.71462,80,0
-138779.4632,65,0
-138648.58658,61,0
-137798.4724,83,0
-137631.85308,71,0
-137326.71445,73,0
-136157.85389,93,0
-135593.85465,81,0
-135293.97812,83,0
-134755.72628,97,0
-134530.225,74,0
-134230.35368,74,0
-134043.10421,88,0
-133617.8417,89,0
-133417.72716,79,0
-133030.59264,77,0
-132935.72128,104,0
-132569.21448,82,0
-132126.09018,62,0
-131487.84664,83,0
-131267.47939,81,0
-131144.35914,75,0
-130749.60169,98,0
-130513.85975,69,0
-130237.09943,85,0
-129942.22056,74,0
-129396.35828,73,0
-129224.73595,72,0
-128937.72844,82,0
-128328.10304,89,0
-127951.35324,93,0
-127566.8471,79,0
-127489.96911,71,0
-127077.21867,72,0
-126477.10061,95,0
-126300.22198,89,0
-125879.73115,74,0
-125738.84777,82,0
-125310.73924,89,0
-125067.59891,81,0
-124803.48501,97,0
-124544.72344,97,0
-123742.85457,94,0
-123214.72617,97,0
-122387.36639,88,0
-122064.49201,89,0
-121674.73663,74,0
-121349.11242,88,0
-121146.60768,88,0
-120837.23096,77,0
-119952.60492,83,0
-119565.48691,85,0
-119374.11741,89,0
-118966.482,94,0
-118613.9991,91,0
-118539.6222,83,0
-117860.3666,83,0
-117642.47806,81,0
-117297.47932,90,0
-116531.60592,70,0
-116295.86429,81,0
-115573.6208,74,0
-115501.85553,69,0
-114812.12327,61,0
-114047.86899,106,0
-113226.35786,89,0
-112864.86628,68,0
-112575.11464,74,0
-112457.23668,73,0
-112041.864,74,0
-111923.86087,68,0
-111631.61645,75,0
-111331.62267,58,0
-110808.87762,75,0
-110555.11937,81,0
-110162.62364,84,0
-110090.87985,116,0
-110085.87269,74,0
-110080.85611,77,0
-110075.63745,78,0
-110070.62113,86,0
-110019.1202,75,0
-109806.24846,74,0
-109431.99927,83,0
-108983.11928,71,0
-108788.23639,97,0
-108490.75261,99,0
-108213.74873,113,0
-107993.24796,78,0
-107631.50387,113,0
-106390.49993,112,0
-106141.75162,116,0
-105895.50648,71,0
-105236.38137,91,0
-104366.86992,78,0
-103697.38322,74,0
-103522.87801,80,0
-102830.37548,90,0
-102512.37302,93,0
-102178.99029,97,0
-101168.74999,82,0
-100858.4977,61,0
-99520.8724799,102,0
-58312.6782401,65,0
-58228.0533299,61,0
-57836.0608599,73,0
-57274.81476,87,0
-54491.9512501,76,0
-54015.4423399,74,0
-53625.81301,87,0
-52995.3203399,82,0
-52777.4393301,83,0
